PREGÃO;DESCRIÇÃO;QUANTIDADES DE ITENS LICITADOS;VALOR TOTAL HOMOLOGADO;UNIDADE RESPONSÁVEL
22/2019;APARELHOS ELETRÔNICOS E TELEFÔNICOS, EQUIPAMENTOS DE REFRIGERAÇÃO, ELETROPORTÁTEIS E ELETRODOMÉSTICOS;73;694.855,48;REITORIA/PARANAVAÍ
23/2019;SERVIÇO DE LIMPEZA;14;2.592.758,99;REITORIA
24/2019;MATERIAL DE EXPEDIENTE;252;870.853,52;REITORIA/JAGUARIAÍVA
25/2019;CONTROLE E PROCESSOS INDUSTRIAIS - CONSUMO;289;378.866,08;REITORIA/IVAIPORÃ
26/2019;MANUTENÇÃO PREDIAL;29;6.211.342,61;REITORIA
27/2019;CONTROLE E PROCESSOS INDUSTRIAIS - PERMANENTE;69;1.689.128,79;REITORIA/FOZ DO IGUAÇU
28/2019;NÚCLEO BÁSICO II;139;3.395.714,45;REITORIA/PALMAS
29/2019;NÚCLEO BÁSICO I - CONSUMO, PARTE 1;311;467.262,63;REITORIA/CURITIBA
30/2019;NÚCLEO BÁSICO I - CONSUMO, PARTE 2;308;408.271,60;REITORIA/CURITIBA
31/2019;INFRAESTRUTURA - PERMANENTE;66;928.332,57;REITORIA/CASCAVEL
32/2019;PRODUÇÃO CULTURAL E DESIGN - ÁUDIO, VÍDEO E FOTO;143;1.371.220,04;REITORIA/CAMPO LARGO
33/2019;JOGOS;2;402.638,84;REITORIA
34/2019;AMBIENTE E SAÚDE;359;438.207,92;REITORIA/LONDRINA
36/2019;TURISMO, HOSPITALIDADE E LAZER;199;68.435,14;REITORIA/FOZ DO IGUAÇU
37-2019;ACERVO BIBLIOGRÁFICO;38;584.895,38;REITORIA
38/2019;LOCAÇÃO DE NOBREAK;1;19.990,00;REITORIA
39/2019;PROEQ relançamento;40;224.216,48;REITORIA
jan/19;Contratação de pessoa jurídica para a prestação de serviços contínuos de limpeza;1;240.847,44;IRATI
jan/19;Contratação de empresa especializada para implantação de Iluminação Externa;1;43.250,00;IVAIPORÃ
fev/19;Aquisição de Seguro predial;1;3.800,00;IVAIPORÃ
abr/19;Serviços terceirizados de apoio às atividades operacionais e administrativas, para prestação de serviços de natureza contínua;4;390.766,44;IVAIPORÃ
mar/19;Aquisição de Pellet;1;266.800,00;PALMAS
abr/19;Locação de Veículo;1;95.760,00;PALMAS
jun/19;Aquisição de itens para incubadora, laboratório didático e atendimento pedagógico;56;537.972,16;PALMAS
jan/19;Serviços contínuos de limpeza;4;464.796,12;LONDRINA
fev/19;Fornecimento de cabeamento de rede de fibra óptica;1;750.450,97;LONDRINA
mar/19;Serviços de mudança e transporte rodoviário local de carga;1;26.130,00;LONDRINA
;;;;
CONCORRÊNCIA;DESCRIÇÃO;QUANTIDADES DE ITENS LICITADOS;VALOR TOTAL HOMOLOGADO;UNIDADE RESPONSÁVEL
jan/19;CONCESSÃO ONEROSA DE USO DE ESPAÇO FÍSICO PARA FINS COMERCIAIS no ramo de CANTINA/LANCHONETE, em área destinada a esta finalidade no Bloco I, prédio do Instituto Federal do Paraná – Campus Assis Chateaubriand, situado na Avenida Cívica, 475 – Centro Cívico – no município de Assis Chateaubriand – PR, sendo esta área de 72,15 m² (setenta e dois, vírgula quinze metros quadrados). ;1;150,46;Assis Chateaubriand
jan/19;Concessão não onerosa de uso de espaço físico para serviços de cantina no IFPR - Campus Pitanga. ;1;73,09;Pitanga
;;;;
;;;;
;;;;
;;;;
TOMADA DE PREÇOS;DESCRIÇÃO;QUANTIDADES DE ITENS LICITADOS;VALOR TOTAL HOMOLOGADO;UNIDADE RESPONSÁVEL
jan/19;Escolha da proposta mais vantajosa para a contratação de construção de Bloco Didático com laboratórios no IFPR Campus Ivaiporã. ;1;1.534.044,36;IRATI
jan/19;Contratação de empresa especializada para execução de obra para construção de um Laboratório de Química, com área de 96,30 m², conforme condições, quantidades e exigências estabelecidas no Edital. ;1;239.996,47;PARANAVAÍ
jan/19;Escolha da proposta mais vantajosa para a contratação de serviços de reforma dos quiosques 03 e 04, faz parte de um projeto intitulado Vila Cultural - IFPR - Campus Telêmaco Borba. ;1;584.758,62;TELÊMACO BORBA
jan/19;Escolha da proposta mais vantajosa para a contratação de construção de Guarita e urbanização no IFPR Campus Londrina, conforme condições, quantidades e exigências estabelecidas no Edital e seus anexos.;1;283.076,33;LONDRINA
jan/19;Contratação de serviços de reforma de edificação existente em único pavimento na futura sede da Reitoria – Vila Oficinas, conforme condições, quantidades e exigências estabelecidas neste Edital e seus anexos. ;1;1.258.739,36;REITORIA
;;;;
;;;;
;;;;
ADESÃO;DESCRIÇÃO;QUANTIDADES DE ITENS LICITADOS;VALOR TOTAL HOMOLOGADO;UNIDADE RESPONSÁVEL
fev/19;Aquisição de equipamentos para o laboratório de prototipagem e robótica;1;2.070,00;REITORIA
mar/19;Contratação de Centro de Processamento de Dados (Datacenter);3;2.214.965,93;REITORIA
jun/19;Aquisição de Ponto de acesso interno;1;27.384,00;REITORIA
ago/19;Aquisição de teclado para microcomputador;1;1.895,20;REITORIA
set/19;Aquisição de pendrive;1;1.590,00;REITORIA
out/19;Serviço de coffee break;1;7.987,50;REITORIA
nov/19;Aquisição de Câmera Web;1;1.280,00;REITORIA
13/2019;Aquisição de 2(DOIS) Scanner Tipo I - Departamental/Produção Diária para Arquivos Digitais dos Assentamentos Funcionais;1;3.400,00;REITORIA
14/2019;Aquisição de Suprimentos de Informática;2;2.678,65;REITORIA
15/2019;Serviço de coffee break;1;7.987,50;REITORIA
16/2019;Serviços de confecção, montagem e instalação de sistema modular de sinalização visual;2;21.570,00;REITORIA
18/2019;Aquisição de computadores;1;316.360,00;REITORIA
20/2019;Aquisição de computadores;2;119.900,00;REITORIA
22/2019;Aquisição de notebooks;1;10.594,00;REITORIA
23/2019;Aquisição de switch;1;13.545,60;REITORIA
24/2019;Aquisição de lâmpadas led;1;2.200,00;REITORIA
jan/19;ESTUFA ELÉTRICA PARA COZINHA;1;5.161,05;ASSIS CHATEAUBRIAND
fev/19;Equipamentos de refrigeração;3;5.136,70;ASSIS CHATEAUBRIAND
mar/19;TECLADO;1;773,85;ASSIS CHATEAUBRIAND
abr/19;FIO ELÉTRICO;2;2.439,60;ASSIS CHATEAUBRIAND
mai/19;Mouse e teclado;2;2.985,60;ASSIS CHATEAUBRIAND
jun/19;Cortador grama;1;1.557,59;ASSIS CHATEAUBRIAND
jul/19;Produtos para plantio;13;6.013,29;ASSIS CHATEAUBRIAND
ago/19;CAFÉ;1;1.408,00;ASSIS CHATEAUBRIAND
set/19;Pincel e refil;2;1.055,25;ASSIS CHATEAUBRIAND
out/19;CAFÉ;1;1.920,00;ASSIS CHATEAUBRIAND
nov/19;CAFÉ;1;1.572,50;ASSIS CHATEAUBRIAND
dez/19;GAVETEIRO MÓVEL;1;2.078,00;ASSIS CHATEAUBRIAND
13/2019;Casa vegetação , estufa agrícola;1;59.365,43;ASSIS CHATEAUBRIAND
jan/19;Acervo Bibliográfico;;70.535,25;CAMPO LARGO
mar/19;FONTE ALIMENTAÇÃO ININTERRUPTA;1;3.000,00;CASCAVEL
abr/19;CORTINA;1;23.983,20;CASCAVEL
mai/19;COMPUTADOR;1;14.400,00;CASCAVEL
jun/19;MÁQUINA UNIVERSAL ENSAIOS / PEÇAS E ACESSÓRIOS ;1;5.800,00;CASCAVEL
jul/19;BEBEDOURO ÁGUA;1;1.731,90;CASCAVEL
ago/19;Equipamentos de química;5;25.460,90;CASCAVEL
out/19;Acessórios para estudo,treinamento;1;1.249,59;CASCAVEL
nov/19;MÓVEL MULTIUSO;1;12.136,00;CASCAVEL
dez/19;Peça , componente equipamento agrícola;1;11.123,46;CASCAVEL
13/2019;Notebook;1;26.760,00;CASCAVEL
16/2019;GAVETEIRO MÓVEL;1;15.257,00;CASCAVEL
17/2019;Tela;1;1.171,50;CASCAVEL
18/2019;CHALEIRA DE METAL;1;186,5;CASCAVEL
20/2019;Caixa som ;1;2.700,00;CASCAVEL
21/2019;Utensílio doméstico;1;34.362,85;CASCAVEL
22/2019;Polarímetro;1;19.965,99;CASCAVEL
jan/19;CAMISETA;1;1.701,00;CURITIBA
fev/19;ACESSÓRIO/COMPONENTE ELÉTRICO ELETRÔNICO;1;3.578,00;CURITIBA
mar/19;CABO ELÉTRICO ;1;496,8;CURITIBA
abr/19;PINÇA CIRÚRGICA;2;54,42;CURITIBA
mai/19;JALECO;1;184,04;CURITIBA
jun/19;ÁLCOOL ETÍLICO;1;874,5;CURITIBA
jul/19;EQUIPAMENTOS DE CONTROLE ELÉTRICO;1;817,8;CURITIBA
ago/19;REDE INFORMÁTICA;3;9.156,80;CURITIBA
set/19;ESTANTE RACK;1;320;CURITIBA
out/19;PATCH PANEL;1;689,94;CURITIBA
nov/19;SWITCH;1;13.380,00;CURITIBA
dez/19;LIVRO;1;97.483,50;CURITIBA
SI;Máquina de lavar roupa;;1.749,00;IRATI
SI;Bolas de voleibol;;2.925,00;IRATI
SI;Container de lixo;;1.536,67;IRATI
SI;Conjunto escolar;;64.000,00;IRATI
SI;Estufa agrícola;;54.203,04;IRATI
SI;Calcário;;6.998,25;IRATI
SI;Aquisição de 2 unid. impressoras 3D;;13.998,00;IVAIPORÃ
SI;Aquisição de 01 unid. bancada de máquinas elétricas;;112.100,00;IVAIPORÃ
SI;Aquisição de 02 unid. centrífugas;;11.991,06;IVAIPORÃ
SI;Aquisição de 01 unid. caixa de som e 01 unid. câmera digital;;1.283,29;IVAIPORÃ
SI;Aquisição de 01und. mesa digitalizadora;;2.800,00;IVAIPORÃ
SI;Aquisição de 02 unid. câmeras fotográficas;;4.342,76;IVAIPORÃ
SI;Aquisição de 01 unid. prensa térmica digital;;2.735,26;IVAIPORÃ
SI;Aquisição de 50 unid. Memória 8GB 2666MHz DDR4 PC;;11.522,50;IVAIPORÃ
SI;Aquisição de 01 unid. projetor multimídia;;8.427,00;IVAIPORÃ
SI;Aquisição de 01 unid. lente e 01 unid. microfone de lapela;;4.280,51;IVAIPORÃ
SI;Aquisição de 01 unid. câmera digital;;2.350,00;IVAIPORÃ
SI;Aquisição de 09 unid. fosfato natural;;887,76;IVAIPORÃ
SI;Aquisição de 47 unid. substratos para hortaliças;;681,5;IVAIPORÃ
SI;Aquisição de 500 unid. lâmpadas LED;;6.715,00;IVAIPORÃ
SI;Aquisição de 01 unid. 08 - Bancada para estudo em energias renováveis;;86.750,00;IVAIPORÃ
SI;Aquisição de 01 unid. Sistema completo para realização do experimento de Coulumb;;55.982,00;IVAIPORÃ
SI (RDC);A contratação de pessoa jurídica especializada na tecnologia de produção de energia sustentável, para elaboração dos projetos básico e executivo, com fornecimento de materiais e equipamentos, construção, montagem e colocação em operação, a realização de testes, a pré-operação e todas as demais operações necessárias e suficientes para a entrega final do objeto, em módulos de Geradores de Energia Solar Fotovoltaicos em pleno funcionamento, para atender a demanda do Campus Jacarezinho do Instituto Federal do Paraná.;;584.948,25;JACAREZINHO
jan/19;Aquisição de equipamentos de rede;2;31.624,08;PALMAS
fev/19;APARELHO AR CONDICIONADO;1;15.168,00;PALMAS
mar/19;DIVISÓRIAS;3;18.438,70;PALMAS
abr/19;PLOTTER RECORTE;1;2.070,00;PALMAS
mai/19;IMPRESSORA 3D ;1;13.299,98;PALMAS
jun/19;PISTOLA DE PINTURA;1;182,27;PALMAS
jul/19;LIXADEIRA MANUAL;1;535,38;PALMAS
ago/19;EQUIPAMENTOS DIVERSOS;1;3.348,49;PALMAS
set/19;RELÓGIO;1;277,14;PALMAS
out/19;PLOTTER RECORTE;1;6.733,33;PALMAS
nov/19;PLAINA;1;448,65;PALMAS
dez/19;SERRA FITA;1;1.251,00;PALMAS
13/2019;PROJETOR MULTIMÍDIA;1;2.000,00;PALMAS
14/2019;PROGRAMA / PRODUCAO - EDUCATIVO, INSTITUCIONAL;1;2.950,00;PALMAS
15/2019;TORNO BANCADA;1;9.068,00;PALMAS
16/2019;PAQUÍMETRO UNIVERSAL;1;124,87;PALMAS
17/2019;IMPRESSORA 3D ;1;7.761,22;PALMAS
18/2019;TUPIA INDUSTRIAL;1;444;PALMAS
20/2019;ESTABILIZADOR - FOTOGRAFICO;1;4.185,51;PALMAS
21/2019;ESTABILIZADOR TENSÃO;1;6.230,21;PALMAS
22/2019;MICROCENTRÍFUGA;1;15.500,00;PALMAS
23/2019;COMPUTADOR;1;27.312,00;PALMAS
24/2019;LÂMPADA LED ;1;2.200,00;PALMAS
SI;MICROPIPETA;;2.144,12;PARANAGUÁ
SI;MEMÓRIAS;;2.690,00;PARANAGUÁ
SI;PERSIANA;;3.120,00;PARANAGUÁ
SI;INSULFILM;;4.536,00;PARANAGUÁ
SI;TECLADOS;;6.555,75;PARANAGUÁ
SI;LEITORA DE PLACA ELISA;;13.020,00;PARANAGUÁ
SI;HDs SSD;;16.750,00;PARANAGUÁ
SI;TOLDO;;70.539,00;PARANAGUÁ
SI;COMPUTADORES MATEUS;;78.636,15;PARANAGUÁ
43497;ADESIVO USO GERAL;1;341,1;PARANAVAÍ
43525;Unidade disco;1;9.612,00;PARANAVAÍ
43556;MEMÓRIA RAM;1;16.838,25;PARANAVAÍ
43586;LIVRO;1;13.500,00;PARANAVAÍ
43617;MEMÓRIA RAM;1;16.392,62;PARANAVAÍ
43647;MICROSCOPIO;1;2.300,00;PARANAVAÍ
43678;MEMÓRIA RAM;1;10.250,00;PARANAVAÍ
43709;MEMÓRIA RAM;1;11.936,00;PARANAVAÍ
43739;Unidade disco;1;3.560,00;PARANAVAÍ
43770;LIVRO;1;1.000,00;PARANAVAÍ
13/2019;SORVETEIRA;1;13.878,91;PARANAVAÍ
14/2019;MONITOR VÍDEO;1;2.570,40;PARANAVAÍ
15/2019;Ar condicionado;1;3.900,00;PARANAVAÍ
16/2019;Materiais elétricos;5;13.076,69;PARANAVAÍ
17/2019;Bola esportiva;1;1.906,00;PARANAVAÍ
18/2019;BALANÇA ANALÍTICA;1;6.680,00;PARANAVAÍ
19/2019;Bomba vácuo;1;4.974,00;PARANAVAÍ
20/2019;MEDIDOR ÍNDICE ACIDEZ;1;1.023,00;PARANAVAÍ
21/2019;EQUIPAMENTO / ACESSÓRIO - PERFURAÇÃO SOLO;1;2.868,02;PARANAVAÍ
22/2019;Agitador magnético;1;1.845,00;PARANAVAÍ
23/2019;EVAPORADOR ROTATIVO À VÁCUO;1;13.840,00;PARANAVAÍ
24/2019;CONDUTIVÍMETRO;1;2.048,62;PARANAVAÍ
26/2019;FOTOMETRO;1;30.000,00;PARANAVAÍ
27/2019;FOTOMETRO;1;32.000,00;PARANAVAÍ
29/2019;FONTE ALIMENTAÇÃO ININTERRUPTA;1;37.564,99;PARANAVAÍ
30/2019;BLOCO DIGESTOR;1;2.690,00;PARANAVAÍ
SI;Aquisição de conector RJ-45 macho;;465;TELÊMACO BORBA
SI;Aquisição de chá e açúcar;;1.086,20;TELÊMACO BORBA
SI;Aquisição de café;;549,5;TELÊMACO BORBA
SI;Aquisição de papel;;5.720,00;TELÊMACO BORBA
43466;ESPECTRÔMETRO;1;41.990,00;UMUARAMA
43497;COMPUTADOR;1;431.400,00;UMUARAMA
43525;CHALEIRA DE METAL;1;74,6;UMUARAMA
43556;Equipamentos eletrônicos;4;15.113,55;UMUARAMA
43586;Aparelho de refrigeração;1;2.520,00;UMUARAMA
43617;BOMBA DE VACUO;1;1.020,00;UMUARAMA
43770;Gravador som;1;1.979,20;UMUARAMA
43800;Retroprojetor - peca , componente;1;14.862,00;UMUARAMA
13/2019;Tela projeção;1;2.934,15;UMUARAMA
14/2019;Câmera fotográfica digital;1;1.399,99;UMUARAMA
15/2019;Equipamentos de som;2;1.780,00;UMUARAMA
16/2019;Microfone;1;5.329,96;UMUARAMA
17/2019;Materiais de áudio e vídeo;2;209,45;UMUARAMA
SI;FORNECIMENTO E INSTALAÇÃO DE CERCA DE GRADE DE FECHAMENTO;;38.070,00;LONDRINA
SI;FORNECIMENTO E INSTALAÇÃO DE CERCA DE GRADE DE FECHAMENTO;;65.565,00;LONDRINA
SI;;;5.492,08;LONDRINA
;Lixeira com 4 rodas e tampa em polietileno de alta densidade, tipo container, 1000 litros cor verde.;;;
SI;ASPIRADOR PÓ - MICROCOMPUTADOR;;630;LONDRINA
SI;MATERIAL DE INFORMÁTICA;;17.265,92;LONDRINA
SI;MATERIAL DE INFORMÁTICA;;2.276,00;LONDRINA
SI;ADAPTADOR SSD;;12.622,50;LONDRINA
SI;MATERIAL DE INFORMÁTICA;;4.571,30;LONDRINA
SI;FONTE DE;;6.271,00;LONDRINA
;ALIMENTAÇÃO HP;;;
;240W para micro;;;
;HP PRO 6000, 6005;;;
SI;AQUISIÇÃO DE DISCO SSD 120 GB, 240 GB E 480 GB;;52.250,00;LONDRINA
SI;Solicitação de registro de empenho do item 21: A contratação de pessoa jurídica especializada na tecnologia de produção de energia sustentável, para elaboração dos projetos básico e executivo, com fornecimento de materiais e equipamentos, construção, montagem e colocação em operação, a realização de testes, a pré-operação e todas as demais operações necessárias e suficientes para a entrega final do objeto, em módulos de Geradores de Energia Solar Fotovoltaicos em pleno funcionamento, para atender a demanda do Campus Londrina do Instituto Federal do Paraná.;;557.356,41;LONDRINA
SI;NOBREAK - ACUMULADOR DE TENSÃO;;13.800,00;LONDRINA
SI;SERVIDOR;;52.100,00;LONDRINA
SI;Confecção de cortinas de tecido tipo blackout chinês;;20.459,20;LONDRINA
SI;Persiana Vertical em Pvc;;27.495,00;LONDRINA
SI;AQUISIÇÃO DE PERSIANAS PARA ARAPONGAS;;8.248,50;LONDRINA
SI;CONJUNTO ESCOLAR PARA ARAPONGAS;;96.800,00;LONDRINA
;;;;
DISPENSA;DESCRIÇÃO;QUANTIDADES DE ITENS LICITADOS;VALOR TOTAL HOMOLOGADO;UNIDADE RESPONSÁVEL
18/2019;CONTRATAÇÃO DE SERVIÇO DE MANUTENÇÃO ELÉTRICA EMERGENCIAL NO EDIFÍCIO AROEIRA;;5.890,00;REITORIA
26/2019;CONSULTORIA TÉCNICA PARA A ELABORAÇÃO D E TERMO DE REFERÊNCIA PARA COMPOR O EDITAL/INSTRUMENTO CONVOCATÓRIO DA LICITAÇÃO DE SERVIÇOS D E TRATAMENTO E ISOLAMENTO ACÚSTICO PARA DOIS ESTÚDIOS DE GRAVAÇÃO AUDIOVISUAL, NECESSÁRIOS PAR A ATENDER A DEMANDA DA DIRETORIA DE EDUCAÇÃO A DISTÂNCIA DO INSTITUTO FEDERAL DO PARANÁ - IFPR , CONFORME CONDIÇÕES, QUANTIDADES, EXIGÊNCIAS E ESTIMATIVAS ESTABELECIDAS NO TERMO DE REFERÊNCIA.;;9.480,00;REITORIA
abr/19;CONTRATAÇÃO DE SEGURO PREDIAL PARA O CAMPUS PITANGA.;;5.448,34;REITORIA
mai/19;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA NA PRESTAÇÃO DE SERVIÇO DE LOCAÇÃO DE NOBREAK PARA O DATA CENTER INSTITUCIONAL POR 8 MESES.;;16.800,00;REITORIA
jul/19;CONTRATAÇÃO DE SEGURO TOTAL COM ASSISTÊ NCIA 24 (VINTE E QUATRO) HORAS PARA COBERTURA D O VEÍCULO PERTENCENTE AO IFPR C. AVANÇADO BARRACÃO;;4.428,56;REITORIA
nov/19;MANUTENÇÃO DE BENS IMÓVEIS, REPARO DE JANELAS DO TIPO MAXIM-ARES, TROCA DE BRAÇOS E AJUSTE DOS ESQUADROS;;1.100,00;REITORIA
dez/19;CONTRATAÇÃO DE SERVIÇO DE RETIRADA DE RESÍDUOS VEGETAIS ATRAVÉS DE CAÇAMBAS DE 5M³.;;1.800,00;REITORIA
13/2019;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA NA PRESTAÇÃO DE SERVIÇOS DE LEVANTAMENTO TOPOGRÁFICO PLANIALTIMÉTRICO GEORREFERENCIADO;;5.250,00;REITORIA
14/2019;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA NO FORNECIMENTO DE GÊNEROS ALIMENTÍCIOS (AÇÚCAR REFINADO), CONSTITUÍDO FUNDAMENTALMENTE POR SUCO DE CANA-DE-AÇÚCAR, CONTENDO NO MÍNIMO 98,5 % DE SACAROSE, COM ASPECTO SÓLIDO E CRISTAIS BE M DEFINIDOS, COR BRANCA, ODOR E SABOR PRÓPRIOS DO PRODUTO, LIVRE DE FERMENTAÇÃO, SEM UMIDADE, SEM EMPEDRAMENTOS, ISENTO DE MATÉRIA TERROSA, D E PARASITAS E DE DETRITOS ANIMAIS OU VEGETAIS, COM EMBALAGEM PRIMÁRIA PLÁSTICA RESISTENTE QUE GARANTA A INTEGRIDADE DO PRODUTO ATÉ O CONSUMO;;555;REITORIA
20/2019;CONTRATAÇÃO DE AUTOMATISMO DE PORTÃO PA RA O CAMPUS PINHAIS DO IFPR.;;3.660,00;REITORIA
21/2019;AQUISIÇÃO DE ITENS PARA ADEQUAÇÃO DOS ESTÚDIOS AUDIOVISUAIS PARA USO DO NOBREAK.;;3.231,83;REITORIA
22/2019;AQUISIÇÃO DE TUBULAÇÃO E BANDEJAS PARA INSTALAÇÃO DE AR CONDICIONADO DO DATA CENTER DO IFPR;;3.064,00;REITORIA
24/2019;SEGURO EMPRESARIAL PREDIAL DO CAMPUS JAGUARIAÍVA;;3.176,39;REITORIA
25/2019;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA NA PRESTAÇÃO DE SERVIÇOS DE EMISSÃO/ RENOVAÇÃO DE CERTIFICAÇÃO DIGITAL;;4.459,00;REITORIA
28/2019;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA NA PRESTAÇÃO CONTINUADA DE VIGILÂNCIA PATRIMONIAL POR MEIO DE MONITORAMENTE ELETRÔNICO;;17.394,00;REITORIA
29/2019;SERVIÇOS DE DESMONTAGEM DE DIVISÓRIAS, MONTAGEM COM FORNECIMENTO DE DIVISÓRIAS E COBERTURA EM FORRO DE PVC PARA ABRIGAR O ACERVO ARQUIVÍSTICO INSTITUCIONAL NO ESPAÇO DISPONIBILIZADO PELO EAD, DE FORMA APROPRIADA EM LOCAL DE ACESSO RESTRITO;;17.600,00;REITORIA
30/2019;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA A PRESTAÇÃO DE SERVIÇOS DE SEGURO PREDIAL DO C. UNIÃO DA VITÓRIA.;;2.277,87;REITORIA
32/2019;SEGURO PREDIAL EAD;;2.092,07;REITORIA
37/2019;CONTRATAÇÃO DE SERVIÇOS DE CERTIFICAÇÃO DIGITAL, SEGUNDO AS NORMAS DA ICP-BRASIL (INFR AESTRUTURA DE CHAVES PÚBLICAS BRASILEIRAS) COMP REENDENDO A EMISSÃO DE CERTIFICADOS DIGITAIS CO M O FORNECIMENTO DA MÍDIA DE ARMAZENAMENTO (TOK EN) E RENOVAÇÃO DE CERTIFICADOS DIGITAIS PARA A TENDER AS NECESSIDADES DO IFPR.;;9.135,00;REITORIA
37/2019;CONTRATAÇÃO DE SERVIÇOS DE CERTIFICAÇÃO DIGITAL, SEGUNDO AS NORMAS DA ICP-BRASIL (INFR AESTRUTURA DE CHAVES PÚBLICAS BRASILEIRAS) COMP REENDENDO A EMISSÃO DE CERTIFICADOS DIGITAIS CO M O FORNECIMENTO DA MÍDIA DE ARMAZENAMENTO (TOK EN) E RENOVAÇÃO DE CERTIFICADOS DIGITAIS PARA A TENDER AS NECESSIDADES DO IFPR.;;9.135,00;REITORIA
39/2019;FAIXA EM LONA MEDINDO 4 X 1,2 M, COM BA STÃO DE MADEIRA NAS PONTAS, ACABAMENTO EM PONTE IRAS DE PLÁSTICO E CORDÃO;;1.620,00;REITORIA
40/2019;PAGAMENTO DE TAXA DE INSCRIÇÃO PARA PAR TICIPAÇÃO EM EVENTO DE CAPACITAÇÃO DE SERVIDOR( A) DO INSTITUTO FEDERAL DO PARANÁ - CURSO DE REDAÇÃO OFICIAL;;1.490,00;REITORIA
42/2019;GÁS LIQUEFEITO DE PETRÓLEO (GLP), ENGARRAFADO EM BOTIJA COM CONTEÚDO LÍQUIDO DE 13 KG, PRESSURIZADO, FABRICADO DE ACORDO COM O REGULAMENTO NBR-8460/2011 DA ABNT, FORNECIMENTO MEDIANTE TROCA DE VASILHAME;;210;REITORIA
43/2019;FAIXA EM LONA MEDINDO 4 X 1,2 M, COM BA STÃO DE MADEIRA NAS PONTAS, ACABAMENTO EM PONTE IRAS DE PLÁSTICO E CORDÃO;;1.620,00;REITORIA
44/2019;AQUISIÇÃO DE AÇÚCAR REFINADO, PACOTES D E 1KG;;2.352,00;REITORIA
45/2019;CONTRATAÇÃO DE SEGURO PREDIAL PARA O CAMPUS BARRACÃO;;2.658,77;REITORIA
46/2019;CARTUCHO PARA PLOTTER CZ133A NA COR PRETA;;400;REITORIA
47/2019;"RECARGA DE EXTINTOR DE INCÊNDIO, TIPO P Ó QUÍMICO ABC CAPACIDADE 4 KG, GÁS CARBÔNICO (C O2) 6 KG; ENSAIO HIDROSTÁTICO PARA CILINDRO DE EXTINTOR DE INCÊNDIO E TESTE HIDROSTÁTICO DE MANGUEIRA DE INCÊNDIO TIPO 2, BITOLA 2.1/2"", 15 METROS";;808,5;REITORIA
48/2019;CONTRATAÇAÕ DE SEGURO VEICULAR;;6.791,65;REITORIA
49/2019;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA DESINSETIZAÇÃO, DESRATIZAÇÃO, DESCUPINIZAÇÃO, CONTROLE DE POMBOS E LIMPEZA DE CAIXAS D’ÁGUA;;9.755,00;REITORIA
50/2019;CONTRATAÇÃO DE SEGURO PREDIAL PARA O CAMPUS PINHAIS;;4.891,59;REITORIA
51/2019;CONTRATAÇÃO DE SEGURO PREDIAL EDIFÍCIO ASA E VILA OFICINAS;;1.418,71;REITORIA
