PREGÃO;DESCRIÇÃO;QUANTIDADES DE ITENS LICITADOS;VALOR TOTAL HOMOLOGADO;UNIDADE RESPONSÁVEL;OBSERVAÇÃO 
03/2020;Contratação de empresa especializada na prestação de serviços terceirizados de apoio às atividades operacionais para prestação de serviços de natureza contínua de cuidador em saúde, conforme condições, quantidades e exigências estabelecidas no Edital e seus anexos.;1;R$ 41.609,04;PARANAVAÍ;
04/2020;Prestação de serviços terceirizados de apoio às atividades operacionais para prestação de serviços de natureza contínua de vigia noturno, com vistas a atender às necessidades do Instituto Federal do Paraná - Campus Paranavaí, que compreenderá, além dos serviços de mão de obra em regime de dedicação exclusiva, o fornecimento de uniformes, materiais e o emprego dos equipamentos necessários e adequados à execução dos serviços.;1;R$ 40.078,80;PARANAVAÍ;
01/2020;Contratação de empresa prestadora de serviços terceirizados de apoio às atividades operacionais e administrativas, para prestação de serviços de natureza contínua, nas categorias profissionais de Oficial de Manutenção Predial, Auxiliar Administrativo e Jardineiro, com vistas a atender às necessidades da unidade Campus Pinhais do Instituto Federal do Paraná - IFPR.;2;R$ 126.843,84;PINHAIS;
02/2019;LOCAÇÃO DE VEÍCULOS COM MOTORISTA;10;R$ 1.462.068,00;REITORIA;
03/2019;PASSAGENS ÁEREAS;4;R$ 1.287.352,14;REITORIA;
04/2019;LINK INTERNET REPUBLICAÇÃO;6;R$ 109.033,29;REITORIA;
05/2019;MATERIAL DE LIMPEZA, COPA E COZINHA, GENEROS ALIMENTICIOS;110;R$ 602.186,49;REITORIA;
07/2019;AQUISIÇÃO E INSTALAÇÃO DE CORTINA, PELÍCULAS E PERSIANAS;7;R$ 920.223,98;REITORIA/PALMAS;
08/2019;FROTA EVENTUAL;13;R$ 1.469.214,60;REITORIA;
10/2019;MATERIAIS E EQUIPAMENTOS PARA ACESSIBILIDADE EDUCACIONAL;34;R$ 117.518,24;REITORIA/PITANGA;
11/2019;NÚCLEO BÁSICO IV;70;R$ 124.442,82;REITORIA/LONDRINA;
12/2019;MONITORAMENTO ELETRÔNICO;59;R$ 16.466.175,52;REITORIA;
13/2019;PRODUÇÃO ALIMENTÍCIA;102;R$ 409.991,21;REITORIA/PARANAVAÍ;
14/2019;PRODUÇÃO INDUSTRIAL;38;R$ 223.589,78;REITORIA/CAMPO LARGO;
15/2019;REPUBLICAÇÃO MATERIAL DE LIMPEZA, ETC;10;R$ 3.639,20;REITORIA;
17/2019;MOBILIÁRIO BIBLIOTECA;121;R$ 3.381.355,92;REITORIA/ASSIS;
18/2019;UNIFORMES, AVIAMENTOS, BANDEIRAS E EPI;120;R$ 703.963,05;REITORIA/UNIÃO DA VITÓRIA;
19/2019;NÚCLEO BÁSICO III;134;R$ 681.909,42;REITORIA/IRATI;
20/2019;RECURSOS NATURAIS E ACROECOLOGIA;74;R$ 373.827,32;REITORIA/UMUARAMA;
21/2019;AQUISIÇÃO E INSTALAÇÃO DE AR CONDICIONADO;24;R$ 1.646.598,63;REITORIA/PARANAGUÁ;
22/2019;APARELHOS ELETRÔNICOS E TELEFÔNICOS, EQUIPAMENTOS DE REFRIGERAÇÃO, ELETROPORTÁTEIS E ELETRODOMÉSTICOS;73;R$ 694.855,48;REITORIA/PARANAVAÍ;
23/2019;SERVIÇO DE LIMPEZA;14;R$ 2.592.758,99;REITORIA;
24/2019;MATERIAL DE EXPEDIENTE;252;R$ 870.853,52;REITORIA/JAGUARIAÍVA;
25/2019;CONTROLE E PROCESSOS INDUSTRIAIS - CONSUMO;289;R$ 378.866,08;REITORIA/IVAIPORÃ;
26/2019;MANUTENÇÃO PREDIAL;29;R$ 6.211.342,61;REITORIA;
27/2019;CONTROLE E PROCESSOS INDUSTRIAIS - PERMANENTE;69;R$ 1.689.128,79;REITORIA/FOZ DO IGUAÇU;
28/2019;NÚCLEO BÁSICO II;139;R$ 3.395.714,45;REITORIA/PALMAS;
29/2019;NÚCLEO BÁSICO I - CONSUMO, PARTE 1;311;R$ 467.262,63;REITORIA/CURITIBA;
30/2019;NÚCLEO BÁSICO I - CONSUMO, PARTE 2;308;R$ 408.271,60;REITORIA/CURITIBA;
31/2019;INFRAESTRUTURA - PERMANENTE;66;R$ 928.332,57;REITORIA/CASCAVEL;
32/2019;PRODUÇÃO CULTURAL E DESIGN - ÁUDIO, VÍDEO E FOTO;143;R$ 1.371.220,04;REITORIA/CAMPO LARGO;
33/2019;JOGOS;2;R$ 402.638,84;REITORIA;
34/2019;AMBIENTE E SAÚDE;359;R$ 438.207,92;REITORIA/LONDRINA;
36/2019;TURISMO, HOSPITALIDADE E LAZER;199;R$ 68.435,14;REITORIA/FOZ DO IGUAÇU;
37/2019;ACERVO BIBLIOGRÁFICO;38;R$ 584.895,38;REITORIA;
38/2019;LOCAÇÃO DE NOBREAK;1;R$ 19.990,00;REITORIA;
39/2019;PROEQ relançamento;40;R$ 224.216,48;REITORIA;
01/2020;INFRAESTRUTURA - CONSUMO;424;R$ 1.257.870,40;REITORIA;
02/2020;CONTRATAÇÃO DE SERVIÇOS DE FROTA LOCADA COM E SEM MOTORISTA PERMANENTE;7;R$ 1.004.404,38;REITORIA;
03/2020;REFORMA EDIFICIO JOSÉ LOUREIRO;10;R$ 74.700,00;REITORIA;
04/2020;AQUISIÇÃO E INSTALAÇÃO DE CORTINA, PELÍCULAS E PERSIANAS;21;R$ 471.792,08;REITORIA;
05/2020;PASSAGENS ÁEREAS E RODOVIÁRIAS ;6;R$ 1.339.274,11;REITORIA;
06/2020;UNIFORMES PARA OS JOGOS, OUTROS UNIFORMES, TECIDOS, AVIAMENTOS, BANDEIRAS, MATERIAL DE PROTEÇÃO, SINALIZAÇÃO, SEGURANÇA E SOCORRO – EPI;115;R$ 488.126,37;REITORIA;
07/2020;MATERIAL DE LIMPEZA, PRODUTOS DE HIGIENIZAÇÃO, MATERIAIS DE COPA E COZINHA;191;R$ 626.505,28;REITORIA;
08/2020;APARELHOS ELETRÔNICOS, DOMÉSTICOS, INDUSTRIAIS E EQUIPAMENTOS DE REFRIGERAÇÃO;93;R$ 2.119.798,47;REITORIA;
09/2020;NÚCLEO BÁSICO IV ;111;R$ 211.033,74;REITORIA;
10/2020;MOBILIÁRIO DE BIBLIOTECA E EM GERAL;90;R$ 1.332.141,69;REITORIA;
11/2020;CONTROLE E PROCESSOS INDUSTRIAIS - PERMANENTE;63;R$ 1.741.042,62;REITORIA;
12/2020;MATERIAIS E EQUIPAMENTOS PARA ACESSIBILIDADE EDUCACIONAL;27;R$ 90.518,09;REITORIA;
13/2020;TURISMO, HOSPITALIDADE E LAZER ( REPUBLICAÇÃO 34-2020);327;R$ 0,00;REITORIA;
14/2020;PRODUÇÃO INDUSTRIAL E CERÂMICA;10;R$ 21.862,34;REITORIA;
15/2020;TÁXIGOV;7;R$ 273.420,00;REITORIA;
16/2020;AQUISIÇÃO DE MATERIAIS COVID-19 (Coronavírus - Lei 13.979/20);33;R$ 260.470,25;REITORIA;
17/2020;MOODLE;1;R$ 65.299,00;REITORIA;
19/2020;MATERIAL DE EXPEDIENTE;188;R$ 402.431,84;REITORIA;
20/2020;PRODUÇÃO CULTURAL E DESIGN/ ÁUDIO, VÍDEO E FOTO ( REPUBLICAÇÃO 39-2020);147;R$ 833.884,21;REITORIA;
21/2020;NÚCLEO BÁSICO I - QUÍMICA, FÍSICA E BIOLOGIA - CONSUMO (A-F/ PARTE I);384;R$ 374.786,21;REITORIA;
22/2020;NÚCLEO BÁSICO I - QUÍMICA, FÍSICA E BIOLOGIA - CONSUMO (G-Z/ PARTE II);322;R$ 210.606,97;REITORIA;
23/2020;NÚCLEO BÁSICO III - EDUCAÇÃO FÍSICA;80;R$ 265.694,21;REITORIA;
24/2020;PROEQ;93;R$ 127.094,79;REITORIA;
25/2020;RECURSOS NATURAIS E AGROECOLOGIA;82;R$ 256.494,42;REITORIA;
26/2020;INFRAESTRUTURA - PERMANENTE;70;R$ 1.272.996,23;REITORIA;
27/2020;HARDWARE (DIVERSOS;97;R$ 1.023.245,52;REITORIA;
28/2020;REFORMA EAD;1;R$ 268.990,79;REITORIA;
29/2020;CONTROLE E PROCESSOS INDUSTRIAIS - CONSUMO;232;R$ 207.013,36;REITORIA;
30/2020;NÚCLEO BÁSICO II - QUÍMICA, FÍSICA E BIOLOGIA - PERMANENTE;139;R$ 2.200.502,30;REITORIA;
31/2020;AMBIENTE E SAÚDE;388;R$ 253.162,66;REITORIA;
32/2020;INFRAESTRUTURA - CONSUMO;270;R$ 680.964,30;REITORIA/ PARANAGUÁ;INCLUÍDO
33/2020;ACERVO BIBLIOGRÁFICO ;36;R$ 710.831,60;REITORIA;
34/2020;TURISMO, HOSPITALIDADE E LAZER;327;R$ 75.434,70;REITORIA;
35/2020;CONTRATAÇÃO DE SERVIÇOS, SOB DEMANDA, DE REFORMA / MANUTENÇÃO PREDIAL;31;R$ 6.165.831,93;REITORIA;
37/2020;NÚCLEO BÁSICO II - QUÍMICA, FÍSICA E BIOLOGIA - PERMANENTE;14;R$ 388.717,98;REITORIA;
39/2020;PRODUÇÃO CULTURAL E DESIGN/ ÁUDIO, VÍDEO E FOTO;12;R$ 50.306,00;REITORIA;
01/2021;TRADUTORES E INTÉRPRETES DE LIBRAS;12;R$ 888.282,32;REITORIA/ PROAD;INCLUÍDO
03/2021;HARDWARE DIVERSOS ;7;R$ 70.404,18;REITORIA;INCLUÍDO
07/2021;MATERIAL DE LIMPEZA, PRODUTOS DE HIGIENIZAÇÃO, MATERIAIS DE COPA E COZINHA, GÊNEROS ALIMENTÍCIOS PARA FUNCIONAMENTO DA ADMINISTRAÇÃO;108;R$ 487.380,06;REITORIA/ PINHAIS;INCLUÍDO
08/2021;AQUISIÇÃO E INSTALAÇÃO DE CORTINA, PELÍCULAS E PERSIANAS;20;R$ 617.576,44;REITORIA/ FOZ DO IGUAÇU;INCLUÍDO
09/2021;NÚCLEO BÁSICO IV - OUTRAS DISCIPLINAS (ARTES) E DESENVOLVIMENTO EDUCACIONAL E SOCIAL;48;R$ 125.626,63;REITORIA/ IVAIPORÃ;INCLUÍDO
10/2021;UNIFORMES PARA OS JOGOS, OUTROS UNIFORMES, TECIDOS, AVIAMENTOS, BANDEIRAS, MATERIAL DE PROTEÇÃO, SINALIZAÇÃO, SEGURANÇA E SOCORRO – EPI;59;R$ 128.601,85;REITORIA/ UNIÃO DA VITÓRIA;INCLUÍDO
12/2021;APARELHOS ELETRÔNICOS, DOMÉSTICOS, INDUSTRIAIS E EQUIPAMENTOS DE REFRIGERAÇÃO;65;R$ 1.234.101,95;REITORIA/ PARANAVAÍ;INCLUÍDO
13/2021;MOBILIÁRIO DE BIBLIOTECA E EM GERAL;74;R$ 1.748.048,27;REITORIA/ ASSIS CHATEAUBRIAND;INCLUÍDO
14/2021;CONTROLE E PROCESSOS INDUSTRIAIS - PERMANENTE;18;R$ 366.129,91;REITORIA/ PARANAGUÁ;INCLUÍDO
16/2021;CONTRATAÇÃO DE CUIDADOR DE ALUNOS - PAES;8;R$ 289.400,00;REITORIA;INCLUÍDO
17/2021;NÚCLEO BÁSICO I - QUÍMICA, FÍSICA E BIOLOGIA - CONSUMO (A-F/ PARTE I);235;R$ 199.226,63;REITORIA/ CURITIBA;INCLUÍDO
18/2021;NÚCLEO BÁSICO I - QUÍMICA, FÍSICA E BIOLOGIA - CONSUMO (G-Z/ PARTE II);146;R$ 115.323,04;REITORIA/ JACAREZINHO;INCLUÍDO
19/2021;NÚCLEO BÁSICO III - EDUCAÇÃO FÍSICA;57;R$ 104.943,47;REITORIA/ IRATI;INCLUÍDO
20/2021;SERVIÇO DE ROÇAGEM;23;R$ 386.492,01;REITORIA;INCLUÍDO
21/2021;MATERIAL DE EXPEDIENTE;94;R$ 165.902,19;REITORIA/ JAGUARIAÍVA;INCLUÍDO
22/2021;CONTRATAÇÃO DE SERVIÇOS, SOB DEMANDA, DE SERVIÇOS DE LIMPEZA;8;R$ 3.718.503,68;REITORIA;INCLUÍDO
23/2021;RECURSOS NATURAIS E AGROECOLOGIA;61;R$ 465.371,26;"REITORIA/ UMUARAMA
 GOIOERÊ";INCLUÍDO
24/2021;INFRAESTRUTURA - PERMANENTE;26;R$ 809.913,32;REITORIA/ CASCAVEL;INCLUÍDO
25/2021;SEGURO DE ALUNOS;-;-;REITORIA;INCLUÍDO
26/2021;PRODUÇÃO CULTURAL E DESIGN/ ÁUDIO, VÍDEO E FOTO;116;R$ 533.289,25;REITORIA/ CAMPO LARGO;INCLUÍDO
27/2021;CONTROLE E PROCESSOS INDUSTRIAIS - CONSUMO;128;R$ 160.817,00;REITORIA/ COLOMBO;INCLUÍDO
28/2021;NÚCLEO BÁSICO II - QUÍMICA, FÍSICA E BIOLOGIA - PERMANENTE;56;R$ 1.536.016,09;REITORIA/ PALMAS;INCLUÍDO
29/2021;MATERIAIS E EQUIPAMENTOS PARA ACESSIBILIDADE EDUCACIONAL;28;R$ 66.718,12;REITORIA/ PITANGA;INCLUÍDO
31/2021;AMBIENTE E SAÚDE;208;R$ 274.040,96;REITORIA/ LONDRINA;INCLUÍDO
32/2021;PROEQ;13;R$ 108.078,66;"REITORIA/ PROAD
 PROEPPI";INCLUÍDO
34/2021;SOFTWARE (AQUISIÇÃO E RENOVAÇÃO DE LICENÇA);;;REITORIA;INCLUÍDO
35/2021;HARDWARE - PERMANENTE;-;-;"REITORIA/ TELÊMACO BORBA
 DTIC";INCLUÍDO
37/2021;"CONTRATAÇÃO DE EMPRESA ESPECIALIZADA NA PRESTAÇÃO DE SERVIÇOS GRÁFICOS					";1;R$ 9.678,00;REITORIA;INCLUÍDO
38/2021;INFRAESTRUTURA - CONSUMO;-;-;"REITORIA/ PARANAGUÁ 
";INCLUÍDO
39/2021;HARDWARE PERIFÉRICO;-;-;REITORIA;INCLUÍDO
41/2021;ACERVO BIBLIOGRAFICO;33;R$ 276.508,50;REITORIA;INCLUÍDO
44/2021;SERVIÇO DE TELEFONIA VOIP;0;-;REITORIA;INCLUÍDO
45/2021;SERVIÇOS CONTÍNUOS OUTSOURCING DE ALUGUEL DE SCANNERS;-;-;REITORIA;INCLUÍDO
47/2021 ;NÚCLEO BÁSICO II - QUÍMICA, FÍSICA E BIOLOGIA - PERMANENTE;;;REITORIA/  UNIÃO DA VITÓRIA;INCLUÍDO
51/2021;CONTRATAÇÃO DE SERVIÇOS DE FROTA LOCADA COM E SEM MOTORISTA PERMANENTE;-;-;REITORIA;INCLUÍDO
01/2020;O objeto desta licitação é a aquisição de equipamentos de laboratório, visando atender às necessidades do Instituto Federal do Paraná - Campus Umuarama, conforme especificações e quantidades estabelecidas no Termo de Referência, neste Edital e seus Anexos.;3;R$ 87.229,66;UMUARAMA;
;;;;;
TOMADA DE PREÇOS;DESCRIÇÃO;QUANTIDADES DE ITENS LICITADOS;VALOR TOTAL HOMOLOGADO;UNIDADE RESPONSÁVEL;OBSERVAÇÃO
01/2019;Escolha da proposta mais vantajosa para a contratação de construção de Bloco Didático com laboratórios no IFPR Campus Ivaiporã. ;1;R$ 1.534.044,36;IRATI;
01/2019;Contratação de empresa especializada para execução de obra para construção de um Laboratório de Química, com área de 96,30 m², conforme condições, quantidades e exigências estabelecidas no Edital. ;1;R$ 239.996,47;PARANAVAÍ;
01/2019;Escolha da proposta mais vantajosa para a contratação de serviços de reforma dos quiosques 03 e 04, faz parte de um projeto intitulado Vila Cultural - IFPR - Campus Telêmaco Borba. ;1;R$ 584.758,62;TELÊMACO BORBA;
01/2019;Escolha da proposta mais vantajosa para a contratação de construção de Guarita e urbanização no IFPR Campus Londrina, conforme condições, quantidades e exigências estabelecidas no Edital e seus anexos.;1;R$ 283.076,33;LONDRINA;
01/2019;Contratação de serviços de reforma de edificação existente em único pavimento na futura sede da Reitoria – Vila Oficinas, conforme condições, quantidades e exigências estabelecidas neste Edital e seus anexos. ;1;R$ 1.258.739,36;REITORIA;
01/2020;O objeto da presente licitação é a escolha da proposta mais vantajosa para a contratação de  empresa para execução das obras de construção de refeitórios nos Campi de Londrina e Paranaguá e Construção de Refeitório e de reforma dos Quiosques 02, 05 e Espaço Multiuso da Vila Cultural do Campus Telêmaco Borba, conforme condições, quantidades e exigências estabelecidas no Edital e seus anexos.;3;R$ 3.108.328,48;REITORIA;
02/2020;O objeto da presente licitação é a escolha da proposta mais vantajosa para a contratação de empresa para execução das obras de construção da Cobertura das Quadras no Campus Avançado Goioerê e no Campus Avançado Coronel Vivida.;2;R$ 950.399,24;REITORIA;
01/2020;Construção de Bloco Didático do IFPR -  Campus Avançado Arapongas, sito na Gleba Ribeirão Bandeirantes do Norte, Parque Industrial, sem número, em Arapongas - PR, conforme condições, quantidades e exigências estabelecidas neste Edital e seus anexos.;1;R$ 1.588.614,39;LONDRINA;
02/2020;Contratação de construção de Guarita e infraestrutura na Unidade Norte do IFPR -  Campus Londrina;1;R$ 409.900,28;LONDRINA;
01/2020;O objeto da presente licitação é a escolha da proposta mais vantajosa para a contratação de serviços de Pavimentação do Estacionamento e Construção de Arquibancadas do IFPR -  Campus BARRACÃO, cito a Rodovia BR 163, n° 2115, Bairro Industrial, Barracão – PR. Cep. 85.700-000, conforme condições, quantidades e exigências estabelecidas neste Edital e seus anexos.;1;R$ 480.127,93;CAPANEMA;
02/2020;Contratação de empresa especializada para ampliação da Quadra Coberta (Salas de Apoio, Vestiários e Urbanização) e Benfeitorias nas Instalações Elétricas do Campus Avançado Barracão - no município de Barracão - PR, conforme condições, quantidades e exigências estabelecidas neste instrumento e seus anexos, executado dentro das normas técnicas de construção e obedecendo aos desenhos e detalhes dos projetos arquitetônico, executivo e elétrico.;1;R$ 659.467,65;CAPANEMA;
01/2020;O objeto da presente licitação é a escolha da proposta mais vantajosa para a contratação de empresa especializada para execução de obra de construção da Cobertura das Quadras no Campus Avançado Goioerê e no Campus Avançado Coronel Vivida.;2;R$ 950.399,03;UMUARAMA;
01/2020;A contratação de empresa especializada para Ampliação da Quadra Coberta (Salas de Apoio, Vestiários e Urbanização)  do Campus Jaguariaíva - no município de Jaguariaíva - PR, conforme condições, quantidades e exigências estabelecidas neste instrumento e seus anexos, executado dentro das normas técnicas de construção e obedecendo aos desenhos e detalhes dos projetos arquitetônico, executivo e elétrico. ;1;R$ 499.297,73; JAGUARIAÍVA;
01/2020;Contratação de empresa especializada para construção de cobertura para passarelas de interligação entre os blocos do Campus Paranavaí e para ampliação do estacionamento por meio de reforma que abrange pavimentação para estacionamento de motos e veículos, pintura para demarcação de vagas e drenagem dos bolsões de estacionamento, instalação de postes de iluminação e construção de depósito de lixo conforme condições, quantidades e exigências estabelecidas no Edital.;2;R$ 1.073.704,19;PARANAVAÍ;
02/2020;Contratação de empresa especializada para construção de cobertura para passarelas de interligação entre os blocos do Campus Paranavaí e para ampliação do estacionamento por meio de reforma que abrange pavimentação para estacionamento de motos e veículos, pintura para demarcação de vagas e drenagem dos bolsões de estacionamento, instalação de postes de iluminação e construção de depósito de lixo conforme condições, quantidades e exigências estabelecidas no Edital.;2;R$ 1.073.704,19;PARANAVAÍ;
01/2020;O objeto da presente licitação é a escolha da proposta mais vantajosa para a contratação de serviços de pavimentação, revitalização e colocação de passarela coberta do IFPR -  Campus Pinhais, sito à Rua Humberto de Alencar Castelo Branco, 1575 - Vila Amélia, Pinhais – PR. Cep.: 83.330-200, conforme condições, quantidades e exigências estabelecidas neste Edital e seus anexos.;1;R$ 407.088,68;PINHAIS;
01/2021;Contratação de empresa especializada para execução de obra de remanescente de obra do bloco didático do Campus Londrina do IFPR;1;R$ 1.043.392,16;Campus Londrina;INCLUÍDO
02/2021;Contratação de empresa especializada para execução de obra de construção de auditório e adequação de laboratórios do Campus Avançado Barracão do Instituto Federal do Paraná.;2;R$ 1.254.212,35;Campus Av. Barracão;INCLUÍDO
03/2021;Construção Guarita;1;R$ 499.867,05;Arapongas;INCLUÍDO
;;;;;
INEXIGIBILIDADE;DESCRIÇÃO;QUANTIDADES DE ITENS LICITADOS;VALOR TOTAL HOMOLOGADO;UNIDADE RESPONSÁVEL;OBSERVAÇÃO
34/2019;AQUISIÇÃO DE NÚMEROS INTERNACIONAL STAN DART BOOK NUMBER - ISBN PARA ATENDER DEMANDAS DA EDITORA IFPR/PROEPPI VISANDO VIABILIZAR O PR OCESSO EDITORIAL DA EDITORA IFPR.;1;R$ 154,00;REITORIA;
56/2019;CONTRATAÇÃO DE HOSPEDAGEM E MANUTENÇÃO DO SISTEMA INTEGRADO DE BIBLIOTECAS PERGAMUM.;1;R$ 27.982,20;REITORIA;
57/2019;CONTRATAÇÃO DE ASSINATURA DE SISTEMA DI GITAL MULTIUSUÁRIO (ABNT-COLEÇÃO) PARA DISPONIB ILIZAÇÃO E GERENCIAMENTO DE COLEÇÕES DE NORMAS TÉCNICAS BRASILEIRAS (NBR), MERCOSUL (NM) E ISO;2;R$ 8.978,80;REITORIA;
61/2019;AQUISIÇÃO DE MATERIAL PARA ANÁLISE DE ALIMENTOS POR MEIO DE INEXIGIBILIDADE.;2;R$ 14.000,00;REITORIA;
33/2019;PAGAMENTO DE TAXA DE INSCRIÇÃO PARA O CONGRESSO BRASILEIRO DE AUDITORIA E CONTROLE INTERNO – COBACI;1;R$ 4.400,00;REITORIA;
35/2019;"ATENDER DESPESAS COM INSCRIÇÕES DE PAR TICIPAÇÃO EM WORKSHOP ANPROTEC ""O FUTURO DOS AM BIENTES DE INOVAÇÃO"" PARA CAPACITAÇÃO PROFISSIO NAL DE SERVIDORES DA AGÊNCIA DE INOVAÇÃO PROEPP I/IFPR.";1;R$ 1.950,00;REITORIA;
36/2019;CURSO CAPACITAÇÃO EM GESTÃO ESTRATÉGIC A DE PROPRIEDADE INTELECTUAL.;1;R$ 6.000,00;REITORIA;
44/2019;PAGAMENTO DE TAXA DE INSCRIÇÃO DO 30 C ONGRESSO BRASILEIRO DE MICROBIOLOGIA;1;R$ 1.010,00;REITORIA;
60/2019;DESPESAS COM PUBLICAÇÕES NO DIÁRIO OFIC IAL DA UNIÃO - EXERCÍCIO 2020;1;R$ 310.000,00;REITORIA;
65/2019;A CONTRATAÇÃO DE UMA EMPRESA RESPONSÁVEL PELA REALIZAÇÃO DE UM TREINAMENTO IN COMPANY A SER REALIZADO NOS DIAS 28 E 29 DE JANEIRO DE 2020, PARA ATENDER DEMANDA DE FORMAÇÃO PROFISSI ONAL DOS SERVIDORES DO INSTITUTO FEDERAL DO PARANÁ.;1;R$ 34.387,27;REITORIA;
66/2019;INSCRIÇÃO DE PARTICIPAÇÃO STARTSE EDTEC H CONFERENCE 2020 PARA CAPACITAÇÃO PROFISSIONAL DOS SERVIDORES DA AGÊNCIA DE INOVAÇÃO PROEPPI/ IFPR.;1;R$ 2.612,78;REITORIA;
67/2019;A CONTRATAÇÃO DA EMPRESA SOLUS TREINAME NTOS EMPRESARIAIS, CNPJ N 17.033.296/0001-40, PARA A REALIZAÇÃO DA PALESTRA GESTÃO DO TEMPO E PRODUTIVIDADE A SER MINISTRADA PELO SENHOR JO SÉ RAFAEL DE MEDEIROS FILHO, COM DURAÇÃO DE ATÉ 3 (TRÊS) HORAS, DURANTE O SEGUNDO ENCONTRO DE ADMINISTRAÇÃO, PLANEJAMENTO E DESENVOLVIMENTO INSTITUCIONAL QUE ACONTECERÁ NOS DIAS 11, 12, 13 DE FEVEREIRO DE 2020;1;R$ 5.500,00;REITORIA;
36/2019;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA EXECUÇÃO SISTEMA DE ALARME MONITORADO ELETRO NICAMENTE, PARA ATENDER A DEMANDA DO CAMPUS JAGUARIAÍVA, CONFORME DETALHAMENTO CONSTANTE NO PROJETO BÁSICO E SEUS ANEXOS;;R$ 25.550,50;REITORIA;
01/2019;CONTRATAÇÃO DE FORNECIMENTO DE ÁGUA E C OLETA DE ESGOTO PARA O CAMPUS AVANÇADO BARRACÃO NO EXERCÍCIO DE 2019;1;R$ 4.200,00;REITORIA;
